,Suburb,Latitude,Longitude,SSC_Code
133,"Chester Hill, Sydney",-33.8816667,151.0011111,SSC10899
134,"Chifley, Sydney",-33.9702813,151.2394867,SSC10901
135,"Chippendale, Sydney",-33.8863291,151.1998211,SSC10907
136,"Chipping Norton, Sydney",-33.919687,150.9630711,SSC10908
137,"Chiswick, Sydney",-33.8498337,151.1378781,SSC10910
138,"Chullora, Sydney",-33.8925,151.0477778,SSC10914
139,"Church Point, Sydney",-33.6500957,151.2853102,SSC10915
140,"Claremont Meadows, Sydney",-33.7691667,150.7483333,SSC10918
141,"Clarendon, Sydney",-33.6105511,150.7888909,SSC10921
142,"Clareville, Sydney",-33.6320071,151.3145323,SSC10923
143,"Claymore, Sydney",-34.0469444,150.81,SSC10924
144,"Clemton Park, Sydney",-33.9258322,151.1029075,SSC10928
145,"Clontarf, Sydney",-33.8072973,151.2540699,SSC10935
146,"Clovelly, Sydney",-33.9126387,151.2617904,SSC10938
147,"Clyde, Sydney",-33.833532,151.0218891,SSC10941
148,"Coasters Retreat, Sydney",-33.6048099,151.2988042,SSC10946
149,"Cobbitty, Sydney",-33.896256199999996,151.1007201558444,SSC10954
150,"Colebee, Sydney",-33.7270077,150.8521783,SSC10965
151,"Collaroy Plateau, Sydney",-33.7303841,151.2910394,SSC10971
152,"Collaroy, Sydney",-33.7382194,151.2996618,SSC10970
153,"Colyton, Sydney",-33.7822222,150.7958333,SSC10987
154,"Como, Sydney",-34.0032179,151.0631257,SSC10996
155,"Concord West, Sydney",-33.843168,151.0920563,SSC11000
156,"Concord, Sydney",-33.8556716,151.1067667,SSC10999
157,"Condell Park, Sydney",-33.9227852,151.0113144,SSC11001
158,"Connells Point, Sydney",-33.9869476,151.0942725,SSC11013
159,"Constitution Hill, Sydney",-33.7952082,150.9727813,SSC11014
160,"Coogee, Sydney",-33.9217004,151.2557975,SSC11015
161,"Cornwallis, Sydney",-33.59,150.8094444,SSC11078
162,"Cottage Point, Sydney",-33.6195161,151.203318,SSC11086
163,"Cowan, Sydney",-33.5888297,151.1698568,SSC11097
164,"Cranebrook, Sydney",-33.7048583,150.70641,SSC11105
165,"Cremorne Point, Sydney",-33.8409547,151.2279762,SSC11113
166,"Cremorne, Sydney",-33.8260081,151.2254326,SSC11112
167,"Cromer, Sydney",-33.7385227,151.2762995,SSC11118
168,"Cronulla, Sydney",-34.0575259,151.1523851,SSC11119
169,"Crows Nest, Sydney",-33.8255649,151.2036095,SSC11131
170,"Croydon Park, Sydney",-33.8975316,151.1024641,SSC11135
171,"Croydon, Sydney",-33.8777935,151.1156502,SSC11134
172,"Curl Curl, Sydney",-33.7698341,151.2898175,SSC11167
173,"Currans Hill, Sydney",-34.0463519,150.7712456,SSC11175
174,"Daceyville, Sydney",-33.9289328,151.2251839,SSC11185
175,"Dangar Island, Sydney",-33.5387077,151.239494,SSC11199
176,"Darling Point, Sydney",-33.8730723,151.2376378,SSC11211
177,"Darlinghurst, Sydney",-33.8783381,151.219225,SSC11212
178,"Darlington, Sydney",-33.890862,151.1932156,SSC11214
179,"Davidson, Sydney",-33.7398592,151.1942222,SSC11219
180,"Dawes Point, Sydney",-33.8572223,151.2067756,SSC11222
181,"Dean Park, Sydney",-33.7328296,150.852577,SSC11224
182,"Dee Why, Sydney",-33.7536635,151.2899954,SSC11227
183,"Denham Court, Sydney",-33.9813889,150.8294444,SSC11235
184,"Denistone East, Sydney",-33.7962842,151.0982887,SSC11239
185,"Denistone West, Sydney",-33.8005739,151.0767642,SSC11240
186,"Denistone, Sydney",-33.7989066,151.0887,SSC11238
187,"Dharruk, Sydney",-33.7480556,150.8147222,SSC11248
188,"Dolans Bay, Sydney",-34.0644424,151.1282277,SSC11266
189,"Dolls Point, Sydney",-33.9936111,151.1447222,SSC11267
190,"Doonside, Sydney",-33.7549501,150.8685985,SSC11275
191,"Double Bay, Sydney",-33.8766373,151.24245,SSC11281
192,"Dover Heights, Sydney",-33.8739831,151.2810366,SSC11284
193,"Drummoyne, Sydney",-33.8520678,151.153689,SSC11293
194,"Duffys Forest, Sydney",-33.6733265,151.1927796,SSC11301
195,"Dulwich Hill, Sydney",-33.9045849,151.1386091,SSC11303
196,"Dundas Valley, Sydney",-33.7936744,151.0559069,SSC11313
197,"Dundas, Sydney",-33.802949,151.0440587,SSC11312
198,"Dural, Sydney",-33.6876398,151.0267199,SSC11328
199,"Eagle Vale, Sydney",-34.0377778,150.8111111,SSC11341
200,"Earlwood, Sydney",-33.9247222,151.1313889,SSC11343
201,"East Hills, Sydney",-33.960853,150.9879189,SSC11351
202,"East Killara, Sydney",-33.7554823,151.1811998,SSC11355
203,"East Kurrajong, Sydney",-33.515,150.7677778,SSC11356
204,"East Lindfield, Sydney",-33.7681132,151.1883362,SSC11357
205,"East Ryde, Sydney",-33.8097017,151.1353884,SSC11361
206,"Eastern Creek, Sydney",-33.6750568,150.8533885,SSC11366
207,"Eastgardens, Sydney",-33.9447657,151.2250921,SSC11367
208,"Eastlakes, Sydney",-33.9310733,151.2113667,SSC11368
209,"Eastwood, Sydney",-33.79,151.0844444,SSC11369
210,"Ebenezer, Sydney",-33.5166293,150.8874434,SSC11371
211,"Edensor Park, Sydney",-33.8802849,150.8762602,SSC11377
212,"Edgecliff, Sydney",-33.8797692,151.2361116,SSC11379
213,"Edmondson Park, Sydney",-33.9628336,150.8563294,SSC11383
214,"Elanora Heights, Sydney",-33.6994613,151.2750587,SSC11389
